feature,mean_importance
GDP Growth Rate (%)_ratio_Stock Index Value,-0.007552396915437631
Country_Canada,-0.002310157470628904
Stock Index Value_multiply_GDP Growth Rate (%),-0.0011199098261484685
Interest Rate (%)_multiply_GDP Growth Rate (%),-0.0007629963061776656
Unemployment Rate (%),-0.0007485143047925025
Unemployment Rate (%)_multiply_GDP Growth Rate (%),-0.0004991399331633062
Stock Index Value,-0.0004715720126660328
Country_UK,0.0
Country_India,0.0
Country_Japan,0.0
Country_China,0.0
Country_Brazil,0.0
Country_Australia,0.0
Country_Germany,0.00026652933679245373
Country_France,0.000494446076744004
Country_USA,0.0017078490704606874
Interest Rate (%)_ratio_Stock Index Value,0.0017593190185902774
Stock Index Value_ratio_GDP Growth Rate (%),0.0030679847423902506
Stock Index Value_ratio_Interest Rate (%),0.0034697873306774652
Interest Rate (%),0.0047660273585449445
Interest Rate (%)_sum_Unemployment Rate (%),0.005317108068036913
GDP Growth Rate (%),0.005449410400516053
GDP Growth Rate (%)_ratio_Unemployment Rate (%),0.033432821588711636
Unemployment Rate (%)_sum_GDP Growth Rate (%),0.03367854534039172
