feature,shap_importance
Interest Rate (%),0.040875457
Unemployment Rate (%)_ratio_Interest Rate (%),0.032411534
Unemployment Rate (%)_ratio_Stock Index Value,0.029458437
Stock Index Value,0.023697361
GDP Growth Rate (%),0.0193907
Interest Rate (%)_ratio_Stock Index Value,0.0163285
Unemployment Rate (%),0.01260065
GDP Growth Rate (%)_diff_Unemployment Rate (%),0.008166005
GDP Growth Rate (%)_diff_Interest Rate (%),0.0053384136
Stock Index Value_ratio_Interest Rate (%),0.0050793793
Country_Canada,0.004119402
Country_France,0.003178284
Country_Brazil,0.0031454067
Country_China,0.003037915
Country_India,0.0021786513
Country_Germany,0.0020918294
Country_USA,0.0014335501
Country_Japan,0.0010746232
Interest Rate (%)_multiply_Unemployment Rate (%),0.0005646155
Stock Index Value_ratio_Unemployment Rate (%),0.0
Interest Rate (%)_diff_Stock Index Value,0.0
Country_UK,0.0
Country_Australia,0.0
Unemployment Rate (%)_diff_Stock Index Value,0.0
