feature,shap_importance
Interest Rate (%),0.008437483
GDP Growth Rate (%)_diff_Interest Rate (%),0.008327303
GDP Growth Rate (%)_diff_Unemployment Rate (%),0.0076787337
Unemployment Rate (%),0.0035147197
Unemployment Rate (%)_ratio_Interest Rate (%),0.0034353181
GDP Growth Rate (%),0.0015794279
Stock Index Value_ratio_Interest Rate (%),0.0012613295
Interest Rate (%)_diff_Stock Index Value,0.0008975749
Country_Germany,0.0004341135
Country_India,0.00041780117
Country_Japan,0.00040975618
Stock Index Value,0.0003100379
Stock Index Value_ratio_Unemployment Rate (%),0.0
Unemployment Rate (%)_ratio_Stock Index Value,0.0
Interest Rate (%)_multiply_Unemployment Rate (%),0.0
Country_UK,0.0
Interest Rate (%)_ratio_Stock Index Value,0.0
Country_USA,0.0
Country_France,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Country_Australia,0.0
Unemployment Rate (%)_diff_Stock Index Value,0.0
