feature,shap_importance
GDP Growth Rate (%)_diff_Interest Rate (%),0.011697981
Interest Rate (%)_diff_Stock Index Value,0.010490647
Unemployment Rate (%),0.007731647
Stock Index Value,0.0064122668
Interest Rate (%)_ratio_Stock Index Value,0.0060186563
Interest Rate (%),0.0053700665
GDP Growth Rate (%),0.0051816115
Unemployment Rate (%)_ratio_Interest Rate (%),0.004653845
Stock Index Value_ratio_Interest Rate (%),0.0041032587
Interest Rate (%)_multiply_Unemployment Rate (%),0.0026844575
GDP Growth Rate (%)_diff_Unemployment Rate (%),0.0019208656
Country_UK,0.00027698328
Country_Japan,0.0
Country_USA,0.0
Country_India,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Unemployment Rate (%)_ratio_Stock Index Value,0.0
Stock Index Value_ratio_Unemployment Rate (%),0.0
Country_Australia,0.0
Unemployment Rate (%)_diff_Stock Index Value,0.0
