feature,shap_importance
Stock Index Value_ratio_Interest Rate (%),0.028391934888141596
GDP Growth Rate (%)_ratio_Unemployment Rate (%),0.026948464268228736
GDP Growth Rate (%),0.021700442342914926
Interest Rate (%),0.018561914539714747
Unemployment Rate (%),0.01338693373305443
Stock Index Value,0.013348824189234457
Unemployment Rate (%)_sum_GDP Growth Rate (%),0.01103421830140372
Interest Rate (%)_ratio_Stock Index Value,0.008163507002350417
Stock Index Value_multiply_GDP Growth Rate (%),0.006795302239392127
Country_Canada,0.005419036992517508
Interest Rate (%)_sum_Unemployment Rate (%),0.0053320611882431805
Unemployment Rate (%)_multiply_GDP Growth Rate (%),0.004906098780191852
Country_Japan,0.002618889969775905
GDP Growth Rate (%)_ratio_Stock Index Value,0.002568844002146615
Interest Rate (%)_multiply_GDP Growth Rate (%),0.002103845324381873
Stock Index Value_ratio_GDP Growth Rate (%),0.002073978192784263
Country_USA,0.0
Country_Australia,0.0
Country_India,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_Brazil,0.0
Country_UK,0.0
