feature,shap_importance
Interest Rate (%)_diff_Stock Index Value,0.0063478923
Unemployment Rate (%)_ratio_Interest Rate (%),0.0031233716
GDP Growth Rate (%)_diff_Interest Rate (%),0.002891737
GDP Growth Rate (%),0.0026303688
Stock Index Value,0.0017178677
Interest Rate (%)_multiply_Unemployment Rate (%),0.001391019
GDP Growth Rate (%)_diff_Unemployment Rate (%),0.0013003715
Unemployment Rate (%),0.0008163374
Country_USA,0.0
Stock Index Value_ratio_Unemployment Rate (%),0.0
Unemployment Rate (%)_ratio_Stock Index Value,0.0
Stock Index Value_ratio_Interest Rate (%),0.0
Interest Rate (%)_ratio_Stock Index Value,0.0
Country_UK,0.0
Country_Japan,0.0
Country_India,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Country_Australia,0.0
Interest Rate (%),0.0
Unemployment Rate (%)_diff_Stock Index Value,0.0
