feature,shap_importance
GDP Growth Rate (%)_diff_Interest Rate (%),0.03374405
Unemployment Rate (%),0.027151072
Stock Index Value,0.01953223
Interest Rate (%)_ratio_Stock Index Value,0.014682141
GDP Growth Rate (%)_diff_Unemployment Rate (%),0.014027792
Unemployment Rate (%)_ratio_Stock Index Value,0.012530625
Unemployment Rate (%)_ratio_Interest Rate (%),0.011992157
Interest Rate (%),0.009090443
GDP Growth Rate (%),0.0063100443
Interest Rate (%)_multiply_Unemployment Rate (%),0.0037178013
Interest Rate (%)_diff_Stock Index Value,0.0025481961
Country_Canada,0.001443331
Stock Index Value_ratio_Unemployment Rate (%),0.0
Stock Index Value_ratio_Interest Rate (%),0.0
Country_UK,0.0
Country_USA,0.0
Country_Japan,0.0
Country_India,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_Brazil,0.0
Country_Australia,0.0
Unemployment Rate (%)_diff_Stock Index Value,0.0
