feature,shap_importance
Interest Rate (%)_multiply_Unemployment Rate (%),0.11266431353115088
Unemployment Rate (%),0.10778199088495022
GDP Growth Rate (%),0.09885289636782765
Interest Rate (%),0.060075888612607396
GDP Growth Rate (%)_diff_Interest Rate (%),0.035338180650432545
Unemployment Rate (%)_ratio_Interest Rate (%),0.022408477137215
Country_USA,0.0
Interest Rate (%)_diff_Stock Index Value,0.0
Stock Index Value_ratio_Unemployment Rate (%),0.0
Unemployment Rate (%)_ratio_Stock Index Value,0.0
GDP Growth Rate (%)_diff_Unemployment Rate (%),0.0
Stock Index Value_ratio_Interest Rate (%),0.0
Interest Rate (%)_ratio_Stock Index Value,0.0
Country_UK,0.0
Country_Japan,0.0
Country_India,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Country_Australia,0.0
Stock Index Value,0.0
Unemployment Rate (%)_diff_Stock Index Value,0.0
