feature,mean_importance
Interest Rate (%),-0.022734584813076553
Country_Japan,0.0
Stock Index Value_ratio_Unemployment Rate (%),0.0
Unemployment Rate (%)_ratio_Stock Index Value,0.0
GDP Growth Rate (%)_diff_Unemployment Rate (%),0.0
Stock Index Value_ratio_Interest Rate (%),0.0
Interest Rate (%)_ratio_Stock Index Value,0.0
Country_USA,0.0
Country_UK,0.0
Interest Rate (%)_diff_Stock Index Value,0.0
Unemployment Rate (%)_diff_Stock Index Value,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Country_Australia,0.0
Stock Index Value,0.0
Country_India,0.0
GDP Growth Rate (%)_diff_Interest Rate (%),0.015360242240636613
Unemployment Rate (%)_ratio_Interest Rate (%),0.03391728235681044
Interest Rate (%)_multiply_Unemployment Rate (%),0.051118431273641865
Unemployment Rate (%),0.12094310326035487
GDP Growth Rate (%),0.1943692160482305
