feature,shap_importance
Interest Rate (%)_multiply_Unemployment Rate (%),0.011459326
Unemployment Rate (%),0.008616764
Interest Rate (%),0.007714986
GDP Growth Rate (%)_diff_Interest Rate (%),0.0070442436
Unemployment Rate (%)_ratio_Interest Rate (%),0.004419894
GDP Growth Rate (%),0.0025997516
GDP Growth Rate (%)_diff_Unemployment Rate (%),0.0021178669
Country_France,0.00075269165
Stock Index Value,0.0003973043
Interest Rate (%)_diff_Stock Index Value,0.0
Stock Index Value_ratio_Unemployment Rate (%),0.0
Unemployment Rate (%)_ratio_Stock Index Value,0.0
Stock Index Value_ratio_Interest Rate (%),0.0
Interest Rate (%)_ratio_Stock Index Value,0.0
Country_UK,0.0
Country_USA,0.0
Country_Japan,0.0
Country_India,0.0
Country_Germany,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Country_Australia,0.0
Unemployment Rate (%)_diff_Stock Index Value,0.0
