feature,shap_importance
Interest Rate (%),0.04181155
Interest Rate (%)_sum_Unemployment Rate (%),0.04095715
Unemployment Rate (%)_sum_GDP Growth Rate (%),0.03686881
Unemployment Rate (%),0.029102204
Stock Index Value_ratio_Interest Rate (%),0.020565636
Stock Index Value,0.020112967
Stock Index Value_multiply_GDP Growth Rate (%),0.020100301
Interest Rate (%)_multiply_GDP Growth Rate (%),0.018652258
Interest Rate (%)_ratio_Stock Index Value,0.017196702
Stock Index Value_ratio_GDP Growth Rate (%),0.016799087
GDP Growth Rate (%),0.01561757
GDP Growth Rate (%)_ratio_Stock Index Value,0.0143809
GDP Growth Rate (%)_ratio_Unemployment Rate (%),0.012985597
Unemployment Rate (%)_multiply_GDP Growth Rate (%),0.007199192
Country_Japan,0.0
Country_India,0.0
Country_USA,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Country_Australia,0.0
Country_UK,0.0
